,cell,model,R2,RMSE,K,A,r,a,b,c,d
0,B0005,logistic,0.9725,0.0157,1.1603046380113484,0.2433388730404269,-1.2930986689801842,,,,
1,B0005,double_exp,0.9862,0.0112,,,,-0.07914343482038737,-11.580178950796395,0.9868346912106085,-0.45406446126796
2,B0006,logistic,0.9515,0.0277,1.2720859943784986,0.31304967523172483,-1.4144818955392937,,,,
3,B0006,double_exp,0.9811,0.0173,,,,0.7831768113058275,-0.9290769621038961,0.24241545692853916,0.1619131777988312
4,B0007,logistic,0.9685,0.0142,1.1819076846192436,0.248214724077556,-1.0958731732176739,,,,
5,B0007,double_exp,0.9838,0.0102,,,,0.9776901166377564,-0.3502931378812629,-0.043818759006464376,-17.17556286732081
6,B0018,logistic,0.9266,0.0209,1.1593778254944258,0.2920560070214857,-1.002392983302315,,,,
7,B0018,double_exp,0.9624,0.015,,,,0.00039230108608150283,4.999999999999997,0.9271431818348075,-0.39181392534996207
8,CS2_35,logistic,0.9625,0.0328,0.9314673344117861,0.001687904389313476,-6.902902955664203,,,,
9,CS2_35,double_exp,0.9748,0.0269,,,,0.9546452411609536,-0.0857671719933083,-0.004024544225542188,4.999999999999999
